time/iterations,train/reward,time/total_timesteps,time/time_elapsed,time/fps,train/learning_rate,train/std,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/n_updates,train/clip_range
23,-160.16391,47104,132,355,0.00025,1.0304304361343384,-0.03811211504798848,0.072021484375,7056.06194152832,2994.01953125,-43.44477524757385,0.0772773027420044,0.009772103,220,0.2
24,124.52,49152,138,355,0.00025,1.0315182209014893,-0.049364359184983185,0.12919921875,3711.6810989379883,1715.4384765625,-43.48465943336487,0.09853291511535645,0.013529411,230,0.2
25,121.22162,51200,144,355,0.00025,1.0325425863265991,-0.0523604677640833,0.14765625,3102.72748336792,1392.2425537109375,-43.511829662322995,0.13065314292907715,0.014961011,240,0.2
26,46.61061,53248,149,355,0.00025,1.0338952541351318,-0.03935432539146859,0.068994140625,7703.993954467774,3491.503662109375,-43.54626820087433,0.11418670415878296,0.009354016,250,0.2
27,96.43557,55296,155,355,0.00025,1.0346119403839111,-0.03925004343618639,0.06572265625,8411.041461181641,3551.43896484375,-43.575207591056824,0.15145272016525269,0.009857426,260,0.2
28,-86.57035,57344,161,355,0.00025,1.0348893404006958,-0.030702565764659084,0.03466796875,17913.25651245117,8707.4306640625,-43.589692211151124,0.1483163833618164,0.0072928276,270,0.2
29,137.18668,59392,167,355,0.00025,1.0366944074630737,-0.0509966739686206,0.129345703125,5768.5306945800785,3209.59716796875,-43.617875003814696,0.0938372015953064,0.014155874,280,0.2
30,65.623634,61440,172,355,0.00025,1.0367021560668945,-0.037766819982789454,0.100390625,7925.061218261719,3035.5810546875,-43.646057629585265,0.20299363136291504,0.011532301,290,0.2
31,-111.329796,63488,178,354,0.00025,1.0386472940444946,-0.04652033792808652,0.10849609375,6385.470715332031,3165.099609375,-43.67491707801819,0.2194194197654724,0.012546647,300,0.2
32,9.847555,65536,184,354,0.00025,1.0404107570648193,-0.04512394424818922,0.10576171875,7663.433059692383,4832.630859375,-43.731409549713135,0.19901001453399658,0.011568697,310,0.2
33,27.08357,67584,190,354,0.00025,1.0415873527526855,-0.040922918828437106,0.084716796875,10223.948950195312,5097.6884765625,-43.77078583240509,0.18769502639770508,0.010624875,320,0.2
34,-22.652681,69632,196,355,0.00025,1.0441999435424805,-0.04388123343815096,0.094091796875,12105.962817382813,3600.057373046875,-43.83088595867157,0.14836174249649048,0.011272941,330,0.2
