time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/reward,train/approx_kl,train/loss,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/std,train/n_updates,train/explained_variance,train/clip_range,train/clip_fraction,train/entropy_loss
347,108544,312,53,161.85,0.015347942,4674.02294921875,9847.97134399414,0.00025,-0.057281576859531926,1.0795447826385498,520,0.14381426572799683,0.2,0.162158203125,-44.839052605628964
347,110592,318,54,-291.7965,0.015630785,5004.716796875,11285.083547973632,0.00025,-0.0553897232923191,1.08133065700531,530,0.10829490423202515,0.2,0.171484375,-44.88429234027863
347,112640,324,55,130.54025,0.014463797,4751.2724609375,13061.932641601563,0.00025,-0.05328854804101866,1.0814356803894043,540,0.09318381547927856,0.2,0.147900390625,-44.90442249774933
347,114688,330,56,-45.087906,0.030947596,7722.625,21900.340710449218,0.00025,-0.026384628945379518,1.0825952291488647,550,0.12513798475265503,0.2,0.3087890625,-44.924135303497316
347,116736,336,57,-23.150099,0.01790343,15491.994140625,20364.25093383789,0.00025,-0.04463521766156191,1.0839594602584839,560,0.1324535608291626,0.2,0.17197265625,-44.95807955265045
347,118784,342,58,26.80675,0.014461175,8819.66015625,21140.99296875,0.00025,-0.05043622784432955,1.0846539735794067,570,0.14888203144073486,0.2,0.138232421875,-44.98872995376587
347,120832,348,59,-70.490395,0.024273504,2406.189208984375,5822.895487976074,0.00025,-0.06339286442380399,1.087542176246643,580,0.13780969381332397,0.2,0.24716796875,-45.03741264343262
347,122880,353,60,177.69336,0.016734617,4111.251953125,11121.482971191406,0.00025,-0.05893576341331937,1.088120698928833,590,0.09866243600845337,0.2,0.177880859375,-45.08410074710846
347,124928,359,61,-41.62,0.019449638,10713.630859375,17214.965710449218,0.00025,-0.052008018505875955,1.0902976989746094,600,0.1257774829864502,0.2,0.182470703125,-45.11755285263062
347,126976,365,62,6.2038965,0.01582325,5567.81494140625,13316.146551513672,0.00025,-0.057554833259200675,1.0925320386886597,610,0.15973973274230957,0.2,0.17646484375,-45.189500379562375
347,129024,371,63,-495.61514,0.015882973,5802.6474609375,15903.60474243164,0.00025,-0.055381992910406554,1.0936061143875122,620,0.14293169975280762,0.2,0.1712890625,-45.22315211296082
347,131072,377,64,-52.15075,0.013706397,10918.4345703125,21348.519598388673,0.00025,-0.05030059398850426,1.0952914953231812,630,0.14093083143234253,0.2,0.12646484375,-45.26869912147522
347,133120,383,65,-15.60218,0.023664746,7849.22607421875,15562.407931518555,0.00025,-0.04679696853563655,1.0982844829559326,640,0.11884450912475586,0.2,0.22783203125,-45.337442708015445
347,135168,389,66,-23.431189,0.023641277,7482.484375,23284.403234863283,0.00025,-0.03789259891200345,1.1000213623046875,650,0.11169666051864624,0.2,0.224169921875,-45.39173629283905
347,137216,394,67,-19.176275,0.014327737,5345.68896484375,18491.925329589845,0.00025,-0.051186805558972995,1.1016335487365723,660,0.15638411045074463,0.2,0.153564453125,-45.44643223285675
