time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/reward,train/learning_rate,train/approx_kl,train/clip_fraction,train/std,train/value_loss,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/loss
389,57344,147,28,57.24611,0.00025,0.0063855536,0.035302734375,1.0296019315719604,42932.996130371095,270,0.2,0.1886986494064331,-0.021458096223068424,-43.42599968910217,24311.58984375
389,59392,152,29,-867.77045,0.00025,0.006420145,0.028662109375,1.0301053524017334,31452.353088378906,280,0.2,0.24167633056640625,-0.0243510520667769,-43.44589130878448,12588.9365234375
52,61440,1175,30,-212.95264,0.00025,0.00788999,0.04794921875,1.0309067964553833,24185.971081542968,290,0.2,0.2683558464050293,-0.030038081953534856,-43.46471829414368,11935.591796875
49,63488,1293,31,51.688194,0.00025,0.010401638,0.08173828125,1.0320656299591064,25987.28172607422,300,0.2,0.24280774593353271,-0.03136398686328903,-43.49448485374451,12444.298828125
50,65536,1298,32,208.50798,0.00025,0.008790012,0.071630859375,1.0324831008911133,36101.359899902345,310,0.2,0.20100939273834229,-0.028679124612244776,-43.5162793636322,16542.09375
51,67584,1303,33,178.8101,0.00025,0.009412221,0.072607421875,1.0339035987854004,22179.939880371094,320,0.2,0.26971662044525146,-0.033330688273417765,-43.53985903263092,13804.0048828125
53,69632,1309,34,0.61692816,0.00025,0.008836409,0.062451171875,1.034646987915039,28132.033581542968,330,0.2,0.25442540645599365,-0.032881347759393977,-43.572694706916806,10869.02734375
54,71680,1315,35,308.57986,0.00025,0.009121872,0.063671875,1.0357997417449951,27397.55388183594,340,0.2,0.32436496019363403,-0.0331579307327047,-43.603524398803714,13790.833984375
55,73728,1320,36,-269.77023,0.00025,0.012411265,0.115869140625,1.0379958152770996,15440.549383544922,350,0.2,0.38802915811538696,-0.042250173771753906,-43.65349740982056,10381.9638671875
57,75776,1325,37,403.5226,0.00025,0.013860087,0.129052734375,1.0381067991256714,13784.128338623046,360,0.2,0.349234938621521,-0.04675761057587806,-43.682870268821716,5625.17626953125
58,77824,1331,38,-91.8579,0.00025,0.01244727,0.12021484375,1.0387877225875854,22877.06563720703,370,0.2,0.25892364978790283,-0.04474959376966581,-43.69364333152771,15476.359375
59,79872,1336,39,4.4724946,0.00025,0.01317209,0.118310546875,1.0396090745925903,20207.219689941405,380,0.2,0.30557382106781006,-0.04536187250632793,-43.71407582759857,8841.8681640625
61,81920,1341,40,28.445923,0.00025,0.00855467,0.061376953125,1.041293978691101,43429.03696289063,390,0.2,0.2791540026664734,-0.03259746077819727,-43.75098123550415,20208.421875
62,83968,1347,41,588.4233,0.00025,0.013101041,0.124755859375,1.0420979261398315,30578.92786254883,400,0.2,0.2649649381637573,-0.04129774401080795,-43.78596124649048,22832.02734375
63,86016,1352,42,291.3294,0.00025,0.017617144,0.191357421875,1.0439612865447998,11974.045465087891,410,0.2,0.34124070405960083,-0.054439744586125015,-43.82676813602448,4854.982421875
64,88064,1357,43,-224.8438,0.00025,0.014420295,0.140966796875,1.0456386804580688,20817.146081542967,420,0.2,0.2535288333892822,-0.04687511255615391,-43.87275824546814,7194.3017578125
66,90112,1363,44,-225.55919,0.00025,0.011404705,0.093310546875,1.0470306873321533,34544.98666381836,430,0.2,0.15837979316711426,-0.035468941407452804,-43.91816101074219,20288.1640625
67,92160,1368,45,-38.78832,0.00025,0.011615644,0.095361328125,1.0478931665420532,25575.98324584961,440,0.2,0.18063151836395264,-0.03780468617624137,-43.94620258808136,22424.626953125
68,94208,1373,46,284.54172,0.00025,0.010804249,0.08544921875,1.0480060577392578,36376.5035522461,450,0.2,0.27573925256729126,-0.037811770552070814,-43.960556626319885,14474.423828125
69,96256,1378,47,361.3123,0.00025,0.018468533,0.21435546875,1.0497196912765503,16373.137133789063,460,0.2,0.3883023262023926,-0.04684900385909714,-43.99069268703461,7904.14404296875
71,98304,1384,48,17.86854,0.00025,0.01880758,0.195703125,1.0530399084091187,11816.850338745116,470,0.2,0.11257714033126831,-0.04525448526837863,-44.06359450817108,8050.00830078125
72,100352,1389,49,85.14699,0.00025,0.015616757,0.158642578125,1.0543725490570068,18801.921740722657,480,0.2,0.124417245388031,-0.041884133280836976,-44.12947392463684,9733.833984375
73,102400,1394,50,45.64374,0.00025,0.013723493,0.12158203125,1.0564255714416504,22610.979870605468,490,0.2,0.1863047480583191,-0.041876099165529014,-44.1745201587677,10018.67578125
74,104448,1400,51,23.042463,0.00025,0.012428954,0.119580078125,1.0582584142684937,31054.30256958008,500,0.2,0.11520934104919434,-0.0419654587371042,-44.23135583400726,11163.0107421875
75,106496,1405,52,522.84906,0.00025,0.01829834,0.190966796875,1.0599665641784668,26555.469860839843,510,0.2,0.19572806358337402,-0.040644473119755276,-44.27795655727387,19253.8828125
76,108544,1410,53,245.00345,0.00025,0.018145228,0.19775390625,1.0617762804031372,19441.615924072266,520,0.2,0.26258230209350586,-0.04646159853436984,-44.33508033752442,11831.6259765625
78,110592,1416,54,-293.78394,0.00025,0.013825912,0.141845703125,1.0627957582473755,23278.594525146484,530,0.2,0.22503894567489624,-0.04523035469755996,-44.36742811203003,17739.736328125
79,112640,1421,55,80.94426,0.00025,0.014372096,0.141259765625,1.063442587852478,30947.453759765624,540,0.2,0.2246585488319397,-0.04390139712777454,-44.39147062301636,10676.580078125
80,114688,1427,56,12.880202,0.00025,0.012880764,0.120703125,1.0645508766174316,38501.59051513672,550,0.2,0.2454354166984558,-0.042458727712801195,-44.41762609481812,17970.32421875
81,116736,1432,57,-12.599468,0.00025,0.011031823,0.086669921875,1.0651986598968506,52864.37143554688,560,0.2,0.23629993200302124,-0.038921262277290224,-44.44008829593658,23806.12109375
82,118784,1438,58,611.81384,0.00025,0.011177374,0.09541015625,1.0670453310012817,43572.27827148438,570,0.2,0.22816288471221924,-0.040111493837321176,-44.47564721107483,27349.513671875
83,120832,1443,59,-434.4521,0.00025,0.015424636,0.1548828125,1.070430040359497,18696.527899169923,580,0.2,0.2106497883796692,-0.05063326515373774,-44.55878782272339,5647.11865234375
84,122880,1448,60,137.79337,0.00025,0.013700867,0.131201171875,1.0722845792770386,36176.340631103514,590,0.2,0.22567635774612427,-0.04288022166292649,-44.623715019226076,20363.181640625
85,124928,1454,61,-11.502662,0.00025,0.013490606,0.125,1.0732239484786987,38900.51544189453,600,0.2,0.24600642919540405,-0.04524138960259734,-44.659224128723146,17577.705078125
87,126976,1459,62,-10.968711,0.00025,0.019087084,0.192333984375,1.0739303827285767,47818.4107788086,610,0.2,0.21870940923690796,-0.03519452730834018,-44.68420467376709,16725.462890625
88,129024,1464,63,1026.4094,0.00025,0.021256294,0.20927734375,1.0752674341201782,46331.70893554688,620,0.2,0.2670508623123169,-0.03588337619730737,-44.709082984924315,29381.15625
89,131072,1469,64,114.60007,0.00025,0.011927277,0.10556640625,1.0765202045440674,51188.23254394531,630,0.2,0.31942445039749146,-0.04200509281945415,-44.75139081478119,18735.201171875
90,133120,1475,65,70.91894,0.00025,0.014724856,0.14482421875,1.078513741493225,40360.848803710935,640,0.2,0.25081712007522583,-0.043668864858045706,-44.795255756378175,19478.060546875
91,135168,1480,66,-2.702491,0.00025,0.015343392,0.1482421875,1.0812537670135498,49059.59107666016,650,0.2,0.2486078143119812,-0.042595425836043435,-44.864949989318845,28708.91015625
92,137216,1485,67,-154.97159,0.00025,0.012853294,0.120556640625,1.081544280052185,52018.83793945312,660,0.2,0.3031054735183716,-0.04335282462707255,-44.89644057750702,22679.986328125
93,139264,1490,68,-103.00886,0.00025,0.011715198,0.09775390625,1.0828239917755127,72871.62875976562,670,0.2,0.2941669821739197,-0.04182130936678732,-44.92389802932739,28817.400390625
94,141312,1496,69,514.8062,0.00025,0.01849319,0.177880859375,1.0852161645889282,48266.650708007815,680,0.2,0.278403103351593,-0.03649265123676741,-44.97361061573029,29646.078125
95,143360,1501,70,342.80167,0.00025,0.015978884,0.16181640625,1.089500069618225,31458.478625488282,690,0.2,0.43494778871536255,-0.04933939688198734,-45.07008142471314,13265.908203125
96,145408,1506,71,-713.97363,0.00025,0.013899913,0.1330078125,1.0928183794021606,40454.57329711914,700,0.2,0.2953531742095947,-0.04067271233507199,-45.16510856151581,16625.2265625
97,147456,1512,72,-386.84042,0.00025,0.012737028,0.117626953125,1.0952543020248413,50258.08996582031,710,0.2,0.3185476064682007,-0.043189351292676294,-45.24924817085266,25463.501953125
98,149504,1517,73,49.65292,0.00025,0.01860116,0.180078125,1.0977704524993896,49973.34272460938,720,0.2,0.32011282444000244,-0.03993194664653856,-45.32048401832581,23990.599609375
99,151552,1522,74,-47.127724,0.00025,0.013496932,0.129296875,1.0989036560058594,58077.121594238284,730,0.2,0.3187927007675171,-0.04436825622105971,-45.36366698741913,19325.126953125
100,153600,1527,75,1009.86194,0.00025,0.01175799,0.097021484375,1.1007930040359497,76731.82614746093,740,0.2,0.3229674696922302,-0.039068342917016705,-45.406750774383546,46262.78515625
101,155648,1533,76,127.98341,0.00025,0.01686973,0.17451171875,1.1027499437332153,33200.26539306641,750,0.2,0.456758975982666,-0.05218868267256767,-45.46869699954986,17201.208984375
102,157696,1538,77,-29.941734,0.00025,0.015144897,0.146240234375,1.1041502952575684,60727.3519165039,760,0.2,0.29563796520233154,-0.04328179207659559,-45.50347673892975,21180.4609375
103,159744,1543,78,144.34192,0.00025,0.013199229,0.124365234375,1.1073917150497437,61164.78699951172,770,0.2,0.2951950430870056,-0.042808610008796676,-45.57127256393433,34880.65625
104,161792,1549,79,-42.90805,0.00025,0.014701805,0.14375,1.1083859205245972,40977.43045654297,780,0.2,0.3510950207710266,-0.04423875464271987,-45.62805440425873,13479.3271484375
105,163840,1554,80,-9.739506,0.00025,0.014362453,0.1396484375,1.1103123426437378,44513.235131835936,790,0.2,0.353681743144989,-0.045368443542975,-45.66372065544128,21188.423828125
106,165888,1559,81,-361.99738,0.00025,0.01362191,0.136376953125,1.113188624382019,41475.114685058594,800,0.2,0.3751065135002136,-0.0433936915214872,-45.72861566543579,16633.28125
107,167936,1564,82,-174.67119,0.00025,0.01729582,0.180322265625,1.1154109239578247,15923.825476074218,810,0.2,0.46684563159942627,-0.054330990597372876,-45.80491406917572,8558.10546875
108,169984,1570,83,0.9964755,0.00025,0.01553256,0.165234375,1.1166441440582275,24835.225463867188,820,0.2,0.3776257038116455,-0.052013812883524226,-45.840078353881836,19101.90625
